%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
6.839	34193	34193	1686217	4.05	NA	0	no rank	unclassified
93.16	465807	153	12717573	2.21	0.0008421	1	no rank	root
93.12	465625	0	12681657	2.2	0.0008563	131567	no rank	  cellular organisms
93.12	465620	2	12681657	2.2	0.001077	2	superkingdom	    Bacteria
64.17	320832	9	10062907	1.93	0.001657	1224	phylum	      Proteobacteria
64.16	320778	17	10030836	1.94	0.003525	1236	class	        Gammaproteobacteria
24.97	124845	17	4506497	1.83	0.005471	91347	order	          Enterobacterales
19.97	99848	391	4050997	1.61	0.009412	543	family	            Enterobacteriaceae
10	50000	2	2292633	1.41	0.02934	547	genus	              Enterobacter
10	49998	20	2247877	1.4	0.03884	354276	species group	                Enterobacter cloacae complex
4.998	24990	141	918427	1.69	0.04824	550	species	                  Enterobacter cloacae
4.969	24845	0	724411	1.75	0.2825	69219	subspecies	                    Enterobacter cloacae subsp. dissolvens
4.969	24845	0	724411	1.75	0.2825	1104326	no rank	                      Enterobacter cloacae subsp. dissolvens SDM
4.969	24845	0	724411	1.75	0.2825	1000004459	assembly	                        GCF_000235765.1 Enterobacter cloacae subsp. dissolvens SDM
4.969	24845	24845	724411	1.75	0.2825	1000004460	sequence	                          NC_018079.1 Enterobacter cloacae subsp. dissolvens SDM, complete genome
0.0004	2	0	32	1.22	2.664e-05	336306	subspecies	                    Enterobacter cloacae subsp. cloacae
0.0004	2	0	31	1.23	3.512e-05	716541	no rank	                      Enterobacter cloacae subsp. cloacae ATCC 13047
0.0004	2	0	31	1.23	3.512e-05	1000004455	assembly	                        GCF_000025565.1 Enterobacter cloacae subsp. cloacae ATCC 13047
0.0004	2	2	31	1.23	3.89e-05	1000004456	sequence	                          NC_014121.1 Enterobacter cloacae subsp. cloacae ATCC 13047 chromosome, complete genome
0.0004	2	0	20	1	2.918e-05	1000004473	assembly	                    GCF_000770155.1 Enterobacter cloacae strain=GGT036
0.0004	2	2	20	1	2.918e-05	1000004474	sequence	                      NZ_CP009756.1 Enterobacter cloacae strain GGT036, complete genome
4.998	24988	0	1253254	1.2	0.1757	61645	species	                  Enterobacter asburiae
4.998	24988	0	1250472	1.2	0.3094	640513	no rank	                    Enterobacter asburiae LF7a
4.998	24988	0	1250472	1.2	0.3094	1000017201	assembly	                      GCF_000224675.1 Enterobacter asburiae LF7a
4.998	24988	24988	1250472	1.2	0.3225	1000017202	sequence	                        NC_015968.1 Enterobacter asburiae LF7a, complete genome
5	25002	18	1227913	1.29	0.01958	570	genus	              Klebsiella
4.995	24973	24387	1182302	1.29	0.1774	548	species	                Klebsiella aerogenes
0.0688	344	0	16913	1.29	0.2654	1000004439	assembly	                  GCF_001571545.2 Klebsiella aerogenes strain=G7
0.0688	344	344	16913	1.29	0.2662	1000004440	sequence	                    NZ_CP011539.1 Klebsiella aerogenes strain G7 isolate G7 chromosome, complete genome
0.0366	183	0	7400	1.27	0.1276	1000004437	assembly	                  GCF_001559215.1 Klebsiella aerogenes strain=FDAARGOS_152
0.0366	183	183	7400	1.27	0.1276	1000004438	sequence	                    NZ_CP014029.1 Enterobacter aerogenes strain FDAARGOS_152, complete genome
0.0066	33	0	178	1.25	0.0001833	1028307	no rank	                  Klebsiella aerogenes KCTC 2190
0.0066	33	0	178	1.25	0.0001833	1000004428	assembly	                    GCF_000215745.1 Klebsiella aerogenes KCTC 2190
0.0066	33	33	178	1.25	0.0001833	1000004429	sequence	                      NC_015663.1 Enterobacter aerogenes KCTC 2190 chromosome, complete genome
0.0038	19	0	131	1.05	0.0001608	1000004434	assembly	                  GCF_001021995.1 Klebsiella aerogenes strain=CAV1320
0.0038	19	19	131	1.05	0.0001615	1000004435	sequence	                    NZ_CP011574.1 Klebsiella aerogenes strain CAV1320 chromosome, complete genome
0.0014	7	0	61	1.28	0.0004825	1000004442	assembly	                  GCF_001593585.1 Klebsiella aerogenes strain=FDAARGOS_139
0.0014	7	7	61	1.28	0.00068	1000004443	sequence	                    NZ_CP014748.1 Enterobacter aerogenes strain FDAARGOS_139, complete genome
0.0022	11	0	56	2.09	3.129e-06	573	species	                Klebsiella pneumoniae
0.0022	11	0	5	11	2.814e-06	72407	subspecies	                  Klebsiella pneumoniae subsp. pneumoniae
0.0022	11	0	5	11	0.0001124	1125630	no rank	                    Klebsiella pneumoniae subsp. pneumoniae HS11286
0.0022	11	0	5	11	0.0001124	1000006036	assembly	                      GCF_000240185.1 Klebsiella pneumoniae subsp. pneumoniae HS11286
0.0022	11	11	5	11	0.02092	1000006041	sequence	                        NC_016840.1 Klebsiella pneumoniae subsp. pneumoniae HS11286 plasmid pKPHS4, complete sequence
4.89	24452	11	231058	4.89	0.005277	561	genus	              Escherichia
4.888	24441	20932	224059	4.96	0.006439	562	species	                Escherichia coli
0.6704	3352	0	11718	7.86	0.3489	168927	no rank	                  Escherichia coli O111:H-
0.6704	3352	0	11718	7.86	0.3489	585396	no rank	                    Escherichia coli O111:H- str. 11128
0.6704	3352	0	11718	7.86	0.3489	1000004611	assembly	                      GCF_000010765.1 Escherichia coli O111:H- str. 11128
0.474	2370	2370	4359	16	0.6099	1000004614	sequence	                        NC_013370.1 Escherichia coli O111:H- str. 11128 plasmid pO111_2 DNA, complete sequence
0.0742	371	371	407	18.5	0.9292	1000004615	sequence	                        NC_013366.1 Escherichia coli O111:H- str. 11128 plasmid pO111_3 DNA, complete sequence
0.0642	321	321	6580	1.28	0.3156	1000004612	sequence	                        NC_013364.1 Escherichia coli O111:H- str. 11128 DNA, complete genome
