observed	estimate_heule	estimate_flajolet	estimate_ertl	rel_error_heule	rel_error_flajolet	rel_error_ertl	who_won
1	1	1	1	0	0	0	equal
10	10	10	10	0	0	0	equal
100	100	100	100	0	0	0	equal
110	110	110	110	0	0	0	equal
120	120	120	120	0	0	0	equal
130	130	131	130	0	0.00769231	0	equal
140	140	140	140	0	0	0	equal
150	150	150	150	0	0	0	equal
160	160	160	160	0	0	0	equal
170	170	170	170	0	0	0	equal
180	180	180	180	0	0	0	equal
190	190	190	190	0	0	0	equal
200	200	200	200	0	0	0	equal
210	210	210	210	0	0	0	equal
220	220	219	220	0	-0.00454545	0	equal
230	230	230	230	0	0	0	equal
240	240	240	240	0	0	0	equal
250	250	250	250	0	0	0	equal
260	260	259	260	0	-0.00384615	0	equal
270	270	269	270	0	-0.0037037	0	equal
280	280	279	280	0	-0.00357143	0	equal
290	290	290	290	0	0	0	equal
300	300	299	300	0	-0.00333333	0	equal
310	310	309	310	0	-0.00322581	0	equal
320	320	319	320	0	-0.003125	0	equal
330	330	329	330	0	-0.0030303	0	equal
340	340	338	340	0	-0.00588235	0	equal
350	350	349	350	0	-0.00285714	0	equal
360	360	359	360	0	-0.00277778	0	equal
370	370	369	370	0	-0.0027027	0	equal
380	380	378	380	0	-0.00526316	0	equal
390	390	389	390	0	-0.0025641	0	equal
400	400	399	400	0	-0.0025	0	equal
410	410	409	410	0	-0.00243902	0	equal
420	420	419	420	0	-0.00238095	0	equal
430	430	430	430	0	0	0	equal
440	440	439	440	0	-0.00227273	0	equal
450	450	449	450	0	-0.00222222	0	equal
460	460	459	460	0	-0.00217391	0	equal
470	470	470	470	0	0	0	equal
480	480	480	480	0	0	0	equal
490	490	489	490	0	-0.00204082	0	equal
500	500	500	500	0	0	0	equal
510	510	510	510	0	0	0	equal
520	520	519	520	0	-0.00192308	0	equal
530	530	529	530	0	-0.00188679	0	equal
540	540	539	540	0	-0.00185185	0	equal
550	550	549	550	0	-0.00181818	0	equal
560	560	559	560	0	-0.00178571	0	equal
570	570	569	570	0	-0.00175439	0	equal
580	580	579	580	0	-0.00172414	0	equal
590	590	588	590	0	-0.00338983	0	equal
600	600	599	600	0	-0.00166667	0	equal
610	610	608	610	0	-0.00327869	0	equal
620	620	619	620	0	-0.0016129	0	equal
630	630	627	630	0	-0.0047619	0	equal
640	640	637	640	0	-0.0046875	0	equal
650	650	647	650	0	-0.00461538	0	equal
660	660	657	660	0	-0.00454545	0	equal
670	670	667	670	0	-0.00447761	0	equal
680	680	678	680	0	-0.00294118	0	equal
690	690	688	690	0	-0.00289855	0	equal
700	700	698	700	0	-0.00285714	0	equal
710	710	708	710	0	-0.0028169	0	equal
720	720	719	720	0	-0.00138889	0	equal
730	730	728	730	0	-0.00273973	0	equal
740	740	738	740	0	-0.0027027	0	equal
750	750	747	750	0	-0.004	0	equal
760	760	756	760	0	-0.00526316	0	equal
770	770	767	770	0	-0.0038961	0	equal
780	780	776	780	0	-0.00512821	0	equal
790	790	787	790	0	-0.00379747	0	equal
800	800	797	800	0	-0.00375	0	equal
810	810	808	810	0	-0.00246914	0	equal
820	820	817	820	0	-0.00365854	0	equal
830	830	828	830	0	-0.00240964	0	equal
840	840	837	840	0	-0.00357143	0	equal
850	850	848	850	0	-0.00235294	0	equal
860	860	856	860	0	-0.00465116	0	equal
870	870	867	870	0	-0.00344828	0	equal
880	880	876	880	0	-0.00454545	0	equal
890	890	887	890	0	-0.00337079	0	equal
900	900	897	900	0	-0.00333333	0	equal
910	910	907	910	0	-0.0032967	0	equal
920	920	917	920	0	-0.00326087	0	equal
930	930	928	930	0	-0.00215054	0	equal
940	940	937	940	0	-0.00319149	0	equal
950	950	947	950	0	-0.00315789	0	equal
960	960	957	960	0	-0.003125	0	equal
970	970	968	970	0	-0.00206186	0	equal
980	980	978	980	0	-0.00204082	0	equal
990	990	988	990	0	-0.0020202	0	equal
1000	1000	999	1000	0	-0.001	0	equal
1100	1100	1099	1100	0	-0.000909091	0	equal
1200	1200	1198	1200	0	-0.00166667	0	equal
1300	1300	1299	1300	0	-0.000769231	0	equal
1400	1400	1396	1400	0	-0.00285714	0	equal
1500	1500	1494	1500	0	-0.004	0	equal
1600	1600	1596	1600	0	-0.0025	0	equal
1700	1700	1701	1700	0	0.000588235	0	equal
1800	1800	1804	1800	0	0.00222222	0	equal
1900	1900	1900	1900	0	0	0	equal
2000	2000	1995	2000	0	-0.0025	0	equal
2100	2100	2099	2100	0	-0.00047619	0	equal
2200	2200	2207	2200	0	0.00318182	0	equal
2300	2300	2311	2300	0	0.00478261	0	equal
2400	2400	2412	2400	0	0.005	0	equal
2500	2500	2514	2500	0	0.0056	0	equal
2600	2600	2609	2600	0	0.00346154	0	equal
2700	2700	2701	2700	0	0.00037037	0	equal
2800	2800	2801	2800	0	0.000357143	0	equal
2900	2900	2898	2900	0	-0.000689655	0	equal
3000	3000	2991	3000	0	-0.003	0	equal
3100	3100	3087	3100	0	-0.00419355	0	equal
3200	3200	3181	3200	0	-0.0059375	0	equal
3300	3300	3283	3300	0	-0.00515152	0	equal
3400	3400	3382	3400	0	-0.00529412	0	equal
3500	3500	3478	3500	0	-0.00628571	0	equal
3600	3600	3574	3600	0	-0.00722222	0	equal
3700	3700	3671	3700	0	-0.00783784	0	equal
3800	3800	3777	3800	0	-0.00605263	0	equal
3900	3900	3875	3900	0	-0.00641026	0	equal
4000	4000	3978	4000	0	-0.0055	0	equal
4100	4082	4082	4083	-0.00439024	-0.00439024	-0.00414634	Ertl won!
4200	4180	4180	4180	-0.0047619	-0.0047619	-0.0047619	equal
4300	4278	4278	4279	-0.00511628	-0.00511628	-0.00488372	Ertl won!
4400	4369	4369	4370	-0.00704545	-0.00704545	-0.00681818	Ertl won!
4500	4470	4470	4471	-0.00666667	-0.00666667	-0.00644444	Ertl won!
4600	4566	4566	4568	-0.0073913	-0.0073913	-0.00695652	Ertl won!
4700	4665	4665	4667	-0.00744681	-0.00744681	-0.00702128	Ertl won!
4800	4761	4761	4764	-0.008125	-0.008125	-0.0075	Ertl won!
4900	4866	4866	4869	-0.00693878	-0.00693878	-0.00632653	Ertl won!
5000	4969	4969	4971	-0.0062	-0.0062	-0.0058	Ertl won!
5100	5072	5072	5074	-0.0054902	-0.0054902	-0.00509804	Ertl won!
5200	5164	5164	5166	-0.00692308	-0.00692308	-0.00653846	Ertl won!
5300	5264	5264	5266	-0.00679245	-0.00679245	-0.00641509	Ertl won!
5400	5370	5370	5373	-0.00555556	-0.00555556	-0.005	Ertl won!
5500	5465	5465	5467	-0.00636364	-0.00636364	-0.006	Ertl won!
5600	5553	5553	5556	-0.00839286	-0.00839286	-0.00785714	Ertl won!
5700	5640	5640	5643	-0.0105263	-0.0105263	-0.01	Ertl won!
5800	5738	5738	5741	-0.0106897	-0.0106897	-0.0101724	Ertl won!
5900	5835	5835	5838	-0.0110169	-0.0110169	-0.0105085	Ertl won!
6000	5928	5928	5931	-0.012	-0.012	-0.0115	Ertl won!
6100	6027	6027	6030	-0.0119672	-0.0119672	-0.0114754	Ertl won!
6200	6119	6119	6122	-0.0130645	-0.0130645	-0.0125806	Ertl won!
6300	6212	6212	6215	-0.0139683	-0.0139683	-0.0134921	Ertl won!
6400	6320	6320	6323	-0.0125	-0.0125	-0.0120313	Ertl won!
